Date,predicted_anomaly,enso_el_nino_probability,enso_neutral_probability,enso_la_nina_probability,enso_forecast_confidence
1966-06-01,-0.05659360242647701,0.05825152185947886,0.8435170747378681,0.09823140340265306,0.8435170747378681
1966-07-01,-0.07735750465629973,0.052810581080236965,0.8393701635423533,0.10781925537740973,0.8393701635423533
1966-08-01,-0.5108253449134035,0.006342454893639392,0.4801291666468164,0.5135283784595442,0.5135283784595442
1966-09-01,-0.4070382336809517,0.01061105473448985,0.6035432880863107,0.38584565717919944,0.6035432880863107
1966-10-01,-0.45433992037502946,0.008394908015337715,0.5484335755450578,0.44317151643960445,0.5484335755450578
1966-11-01,-0.48934925196886514,0.007056348141238556,0.5062539414246855,0.48668971043407594,0.5062539414246855
1966-12-01,-0.6356677312531679,0.003407582926500009,0.33322461518539537,0.6633678018881046,0.6633678018881046
1967-01-01,-0.7568253006702215,0.0018622116266083164,0.2149864085213773,0.7831513798520144,0.7831513798520144
1967-02-01,-0.7234106164988775,0.0022000931043390797,0.24435822243350303,0.7534416844621579,0.7534416844621579
1967-03-01,-0.8450054582107548,0.0011990483735226886,0.15002570113649605,0.8487752504899813,0.8487752504899813
1967-04-01,-0.901020948256748,0.0009064165685581481,0.11776158134844883,0.881332002082993,0.881332002082993
1967-05-01,-0.22505122349300868,0.0259508824193649,0.7721946355783569,0.20185448200227815,0.7721946355783569
1967-06-01,-0.28356631886031225,0.01949649347472481,0.727407621134835,0.25309588539044015,0.727407621134835
1967-07-01,-0.36260074355256866,0.013216250864955434,0.6520821511454847,0.3347015979895598,0.6520821511454847
1967-08-01,-0.4900587441509676,0.007031536072228719,0.5053924758291759,0.48757598809859537,0.5053924758291759
1967-09-01,-1.0397603473147539,0.0004531646630458451,0.06259093521585357,0.9369559001211006,0.9369559001211006
1967-10-01,-0.6578425982507204,0.003051052372914,0.3092866280584945,0.6876623195685915,0.6876623195685915
1967-11-01,-0.570567471515328,0.004712386167011454,0.4079821526134886,0.5873054612195,0.5873054612195
1967-12-01,-0.5836526603567734,0.004415260961275644,0.3925171403997181,0.6030675986390063,0.6030675986390063
1968-01-01,-0.8842253654975957,0.0009857448019082351,0.1267502183022986,0.8722640368957931,0.8722640368957931
1968-02-01,-1.1470021513558957,0.00026513380742336636,0.03760412210559161,0.9621307440869851,0.9621307440869851
1968-03-01,-0.8942084313663684,0.0009377938673761632,0.1213391990933197,0.8777230070393042,0.8777230070393042
1968-04-01,-0.5882406730737602,0.004315559650889839,0.38713870910841586,0.6085457312406943,0.6085457312406943
1968-05-01,-0.8424696141428956,0.0012143295827867898,0.15164507859516996,0.8471405918220433,0.8471405918220433
1968-06-01,0.3399960281775234,0.3100212708317114,0.6752044084077627,0.014774320760525875,0.6752044084077627
1968-07-01,0.08091347842876524,0.10954154075954575,0.8385302173723861,0.05192824186806817,0.8385302173723861
1968-08-01,0.11100260871102216,0.12510100915368022,0.8298974520087499,0.04500153883756997,0.8298974520087499
1968-09-01,-0.027791364059610565,0.066672920852127,0.8471350840231702,0.08619199512470278,0.8471350840231702
1968-10-01,0.07460226067927161,0.1065012040223855,0.8399948454194393,0.053503950558175216,0.8399948454194393
1968-11-01,0.5936913731887163,0.6150184522845105,0.38078152662389914,0.004200021091590402,0.6150184522845105
1968-12-01,0.7127567909794612,0.7434129996861363,0.254266811796736,0.002320188517127741,0.7434129996861363
1969-01-01,1.0966763704109008,0.9518177027926651,0.04784132953164528,0.0003409676756896344,0.9518177027926651
1969-02-01,1.0621759638486197,0.9432609252668586,0.056333937636709096,0.0004051370964323408,0.9432609252668586
1969-03-01,0.26939090231084084,0.23993325187237224,0.739168178214541,0.020898569913086786,0.739168178214541
1969-04-01,0.2115859759581201,0.1912249832692683,0.7810668790409155,0.02770813768981596,0.7810668790409155
1969-05-01,0.3372615294818724,0.3071042363582325,0.677921099510412,0.014974664131355562,0.677921099510412
1969-06-01,-0.2462136886035354,0.023406232356013218,0.7571535608694046,0.21944020677458223,0.7571535608694046
1969-07-01,-0.24683000194763619,0.023335896086348,0.7566956109589812,0.21996849295467083,0.7566956109589812
1969-08-01,0.32402756178709835,0.29320633711759453,0.6908109820382557,0.015982680844149638,0.6908109820382557
1969-09-01,0.6143508183714216,0.6391678240939902,0.35704278763148256,0.0037893882745272237,0.6391678240939902
1969-10-01,0.7774818022327106,0.8001782843711224,0.19814193186754467,0.0016797837613329477,0.8001782843711224
1969-11-01,0.4014382754008401,0.37923215140648725,0.609858774941811,0.010909073651701818,0.609858774941811
1969-12-01,0.3828264060646934,0.35758349454706556,0.6304562288867169,0.011960276566217525,0.6304562288867169
1970-01-01,0.2504334139103167,0.22307549435321744,0.7539957349124566,0.022928770734325976,0.7539957349124566
1970-02-01,0.25246611902210236,0.22484192006174786,0.7524559024569452,0.022702177481306977,0.7524559024569452
1970-03-01,-0.30147495000154934,0.01785641389769526,0.7117497325154716,0.27039385358683315,0.7117497325154716
1970-04-01,-0.20008975566762482,0.029299464347503842,0.7882080686095795,0.18249246704291663,0.7882080686095795
1970-05-01,-0.5595384754834357,0.004978219264536574,0.42114347811771136,0.5738783026177521,0.5738783026177521
1970-06-01,-0.9554557541405456,0.0006905863106691268,0.0923317004607056,0.9069777132286253,0.9069777132286253
1970-07-01,-1.2719345216782911,0.0001419813850921033,0.0204979326671757,0.9793600859477322,0.9793600859477322
1970-08-01,-1.3108237603089263,0.00011689485490631834,0.016937953430352537,0.9829451517147412,0.9829451517147412
1970-09-01,-1.069153740304352,0.0003912514814896436,0.0545091995114001,0.9450995490071102,0.9450995490071102
1970-10-01,-1.211945256951336,0.00019163501892133114,0.027468147846866575,0.9723402171342121,0.9723402171342121
1970-11-01,-1.1730504534212154,0.0002327641012381721,0.03316648020324786,0.966600755695514,0.966600755695514
1970-12-01,-1.4076005381799936,7.205543901363527e-05,0.010509523214695005,0.9894184213462913,0.9894184213462913
